Question Type,Number of Incorrect Answers,,,
How long do NFL football teams have to get a play off (the play clock)?,3,,,
How many squares does a Rubik's Cube have on each side?,3,,,
"In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?",3,,,40
The SS Titanic sank in which year?,3,,,
What is commonly known as the 'sport of kings'?,3,,,
"Which Tim Burton film is the highest-grossing film of 2010 and, already, the fifth highest-grossing film of all time worldwide?",3,,,
Which city in Georgia was burned by General Sherman during the American Civil War,3,,,
Which is the largest city in Scandinavia by population ?,3,,,
From around 2566 B.C. to 1311 A.D. what was the world's tallest building?,2,,,
How many e tiles are provided in a Scrabble game?,2,,,
The Nazi regime was Germany's Third Reich; which was the first Reich?,2,,,
Which British fashion designer was commissioned by Stanley Kubrick to design the costumes for the film 2001: A Space Odyssey?,2,,,
Who had a No 1 in the 80's with Karma Chameleon,2,,,
"Cable News Network (CNN), the first channel to provide 24-hour television news coverage, was founded by Ted Turner in what year?",1,,,
How many feet are in a furlong?,1,,,
In April 1814 which King gained the French throne to begin the Bourbon Restoration?,1,,,
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",1,,,
Which American naval destroyer was attacked in Aden in October 2000?,1,,,
Which torture chamber was invented by George Orwell?,1,,,
