No.,Utterence,Response,Variation 1,Variation 2,Variation 3
1,"Cable News Network (CNN), the first channel to provide 24-hour television news coverage, was founded by Ted Turner in what year?",1980,In which year did Ted Turner establish the around-the-clock news broadcaster CNN?,"When did Ted Turner launch Cable News Network, the pioneer of 24-hour TV news?",What year marks the founding of CNN by Ted Turner as the first 24-hour news channel?
2,Who was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century?,BART SIMPSON,Which animated TV figure was the single fictional entrant in Time’s 100 most important people of the 20th century?,Who is the lone fictional individual to appear in Time Magazine’s list of the 20th century’s most influential people?,Identify the cartoon character included among Time’s 100 most significant people of the 20th Century.
3,"This quiz is printed on A4 paper which has a length of 297mm. How wide, in millimetres, is A4 paper?",210,A4 paper measures 297 mm in length; how wide is it in millimetres?,"If this quiz is printed on A4 (297 mm long), what is its width in mm?","Given an A4 sheet is 297 mm long, how many millimetres wide is it on the shorter side?"
4,How long do NFL football teams have to get a play off (the play clock)?,40 Seconds,How many seconds does an NFL team have to snap the ball under the play clock?,"In NFL football, what is the duration of the play clock between downs?","For an NFL offense, how long is the countdown to begin the next play?"
5,John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,Two,John 11:35 is known as the shortest Bible verse; how many words does it contain?,"In the shortest verse of the Bible (John 11:35), how many English words appear?",How many words make up the famously brief Scripture verse at John 11:35?
6,"The 3rd of his vice presidents (after John Nance Garner and Henry Wallace), who took over the reins of power when FDR kicked off?",Harry Truman,"Who was the third Vice President under FDR, taking office upon Franklin D. Roosevelt’s death?","Which VP followed John Nance Garner and Henry Wallace, then assumed the presidency when FDR passed away?","Name the individual who succeeded FDR as President, having been his third Vice President."
7,In April 1814 which King gained the French throne to begin the Bourbon Restoration?,LOUIS XVIII,"Which monarch reclaimed the French crown in April 1814, kicking off the Bourbon Restoration?",Name the King who ascended to the throne of France in April 1814 to restore the Bourbon line.,"In April 1814, who became the French King, initiating the Bourbon Restoration era?"
8,Which torture chamber was invented by George Orwell?,Room 101,George Orwell coined which fictional torture location in his novel?,"In Orwell’s writing, what is the name of the ominous chamber used for torment?",Which notorious room did George Orwell invent as a place of ultimate dread?
9,How many squares does a Rubik’s Cube have on each side?,9,Each face of a standard Rubik’s Cube contains how many smaller squares?,A single side of a Rubik’s Cube is subdivided into how many distinct sticker squares?,How many individual colored squares are found on one face of a Rubik’s Cube?
10,The SS Titanic sank in which year?,1912,The Titanic met its tragic fate in which calendar year?,In what year did the RMS Titanic sink during its maiden voyage?,"When was the Titanic lost at sea, resulting in a historic maritime disaster?"
11,"In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?",Union Carbide,Which American chemical firm owned the plant at the heart of the 1984 Bhopal gas leak?,The methyl isocyanate leak in Bhopal occurred at a facility belonging to which U.S. company?,Name the U.S.-based chemical corporation behind the Bhopal plant in 1984.
12,Who had a No 1 in the 80's with Karma Chameleon,Culture Club,Which band scored a No. 1 hit in the 1980s with “Karma Chameleon”?,Name the group that topped the charts with the 80s single “Karma Chameleon.”,Who reached number one in the 1980s performing the track “Karma Chameleon”?
