question,bert_score_mean,bert_score_median,bert_score_mode,cosine_similarity_mean,cosine_similarity_median,cosine_similarity_mode,,Average Bert,Average Cosine
"As at early 2015, how many Prime Ministers have served in Australia since 2013?",1,1,1,1,1,1,,0.955945636,0.872332995
"Cable News Network (CNN), the first channel to provide 24-hour television news coverage, was founded by Ted Turner in what year?",1,1,1,1,1,1,,,
From around 2566 B.C. to 1311 A.D. what was the world's tallest building?,1,1,1,1,1,1,,,
How long do NFL football teams have to get a play off (the play clock)?,1,1,1,1,1,1,,,
How many feet are in a furlong?,0.857796729,0.857796729,0.857796729,0.579738672,0.579738672,0.579738672,,,
How many squares does a Rubik's Cube have on each side?,0.825072825,0.825072825,0.825072825,0,0,0,,,
How many ‘E' tiles are provided in a Scrabble game?,1,1,1,1,1,1,,,
"In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?",0.982450962,0.982450962,0.982450962,1,1,1,,,
In April 1814 which King gained the French throne to begin the Bourbon Restoration?,1,1,1,1,1,1,,,
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",0.991927028,0.991927028,0.991927028,1,1,1,,,
John Chapter 11 Verse 35 is the shortest verse in the Bible. How many words make up the verse?,0.951227188,0.951227188,0.951227188,1,1,1,,,
"The 3rd of his vice presidents (after John Nance Garner and Henry Wallace), who took over the reins of power when FDR kicked off?",0.985201418,0.985201418,0.985201418,1,1,1,,,
The Nazi regime was Germany's Third Reich; which was the first Reich?,0.854054332,0.854054332,0.854054332,0.77651453,0.77651453,0.77651453,,,
The SS Titanic sank in which year?,0.83986783,0.83986783,0.83986783,0,0,0,,,
"This quiz is printed on A4 paper which has a length of 297mm. How wide, in millimetres, is A4 paper?",0.878789008,0.878789008,0.878789008,0.579738672,0.579738672,0.579738672,,,
What is commonly known as the 'sport of kings'?,0.969242156,0.969242156,0.969242156,1,1,1,,,
Which American naval destroyer was attacked in Aden in October 2000?,1,1,1,1,1,1,,,
Which British fashion designer was commissioned by Stanley Kubrick to design the costumes for the film ‘2001: A Space Odyssey'?,1,1,1,1,1,1,,,
"Which Tim Burton film is the highest-grossing film of 2010 and, already, the fifth highest-grossing film of all time worldwide?",0.819562554,0.819562554,0.819562554,1,1,1,,,
Which city in Georgia was burned by General Sherman during the American Civil War,1,1,1,1,1,1,,,
Which is the largest city in Scandinavia by population ?,1,1,1,1,1,1,,,
Which torture chamber was invented by George Orwell?,1,1,1,1,1,1,,,
Who had a No 1 in the 80's with Karma Chameleon,0.987503231,0.987503231,0.987503231,1,1,1,,,
Who was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century?,1,1,1,1,1,1,,,
